,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
23612,3638.0,15/16,09/07/2015,Villarreal CF B,CD Lugo,500 miles €,Préstamo
23613,3638.0,12/13,01/07/2012,Atl. Madrid B,Villarreal CF B,-,Libre
23614,3639.0,16/17,17/08/2016,GZ R&amp;F;,Real Valladolid,700 miles €,Libre
23615,3639.0,15/16,30/06/2016,Real Oviedo,GZ R&amp;F;,700 miles €,Fin de préstamo
23616,3639.0,15/16,27/01/2016,GZ R&amp;F;,Real Oviedo,700 miles €,Préstamo
23617,3639.0,14/15,02/01/2015,Valencia CF,GZ R&amp;F;,"2,50 mill. €","4,00 mill. €"
23618,3639.0,14/15,31/12/2014,Getafe CF,Valencia CF,"2,50 mill. €",Fin de préstamo
23619,3639.0,14/15,23/07/2014,Valencia CF,Getafe CF,"2,50 mill. €",Préstamo
23620,3639.0,13/14,01/07/2013,Levante UD,Valencia CF,"4,00 mill. €",420 miles €
23621,3639.0,12/13,01/07/2012,Valencia CF,Levante UD,"1,50 mill. €",Libre
23622,3639.0,11/12,30/06/2012,Hércules CF,Valencia CF,"1,50 mill. €",Fin de préstamo
23623,3639.0,11/12,01/07/2011,Valencia CF,Hércules CF,"1,50 mill. €",Préstamo
23624,3639.0,10/11,30/06/2011,RC Deportivo,Valencia CF,"1,50 mill. €",Fin de préstamo
23625,3639.0,10/11,01/07/2010,Valencia CF,RC Deportivo,"2,00 mill. €",Préstamo
23626,3639.0,08/09,01/01/2009,V. Mestalla,Valencia CF,-,-
23627,3639.0,06/07,01/07/2006,Burjassot CF,V. Mestalla,-,Libre
23628,3640.0,16/17,01/07/2016,Valladolid B,Real Valladolid,-,-
23629,3640.0,15/16,01/07/2015,Valladolid J. A,Valladolid B,-,-
23630,3641.0,16/17,30/08/2016,Celta de Vigo,Real Valladolid,800 miles €,Préstamo
23631,3641.0,15/16,07/08/2015,OFK Beograd,Celta de Vigo,900 miles €,"1,20 mill. €"
23632,3641.0,13/14,27/01/2014,OFK Belgrad U19,OFK Beograd,400 miles €,-
23633,3641.0,13/14,01/07/2013,Partizan U19,OFK Belgrad U19,-,?
23634,3641.0,12/13,01/07/2012,Teleoptik Zemun,Partizan U19,-,Libre
23635,3641.0,10/11,01/07/2010,Partizan U19,Teleoptik Zemun,-,Libre
23636,3642.0,16/17,31/01/2017,Villarreal CF,Real Valladolid,"2,50 mill. €",Préstamo
23637,3642.0,16/17,26/01/2017,Alavés,Villarreal CF,"2,50 mill. €",Fin de préstamo
23638,3642.0,16/17,19/08/2016,Villarreal CF,Alavés,"7,00 mill. €",Préstamo
23639,3642.0,16/17,04/08/2016,CA Huracán,Villarreal CF,"7,00 mill. €","7,20 mill. €"
23640,3642.0,12/13,01/01/2013,CA Huracán U20,CA Huracán,-,-
23641,3643.0,15/16,02/07/2015,Cádiz CF,Real Valladolid,400 miles €,Libre
23642,3643.0,12/13,23/07/2012,Recreativo,Cádiz CF,600 miles €,Libre
23643,3643.0,10/11,01/08/2010,Recr. Huelva B,Recreativo,-,-
23644,3643.0,10/11,01/07/2010,San Roque,Recr. Huelva B,-,-
23645,3643.0,07/08,01/07/2007,Recr. Huelva B,San Roque,-,?
23646,3644.0,15/16,17/07/2015,UD Las Palmas,Real Valladolid,400 miles €,Libre
23647,3644.0,14/15,05/07/2014,Alavés,UD Las Palmas,400 miles €,Libre
23648,3644.0,12/13,01/07/2012,AD Ceuta,Alavés,-,Libre
23649,3644.0,10/11,01/07/2010,CD Castellón,AD Ceuta,600 miles €,Libre
23650,3644.0,09/10,01/07/2009,Córdoba CF,CD Castellón,700 miles €,Libre
23651,3644.0,06/07,01/07/2006,Xerez CD,Córdoba CF,-,?
23652,3645.0,16/17,31/08/2016,R. M. Castilla,Real Valladolid,500 miles €,Préstamo
23653,3645.0,15/16,30/06/2016,Córdoba CF,R. M. Castilla,500 miles €,Fin de préstamo
23654,3645.0,15/16,31/08/2015,R. M. Castilla,Córdoba CF,-,Préstamo
23655,3645.0,13/14,01/09/2013,Real Madrid C,R. M. Castilla,600 miles €,-
23656,3645.0,12/13,01/07/2012,Real Madrid U19,Real Madrid C,-,-
