,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3874,tmssl.akamaized.net//images/portrait/header/58774-1476115095.jpg?lm=1476115106,José Manuel Casado,José Manuel Casado Bizcocho,2,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,"1,73m",izquierdo,30,09/08/1986,30.06.2017,Defensa - Lateral izquierdo,18/01/2017,B.I.S.C International Sport Consulting,Sevilla  ,-
3875,tmssl.akamaized.net//bilder/spielerfotos/s_70911_2296_2012_1.jpg?lm=0,Adrián Ripa,Adrián Ripa Cruz,3,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,200 miles € ,147.0,"1,77m",izquierdo,31,12/07/1985,30.06.2018,Defensa - Lateral izquierdo,01/07/2011,Domingo Sevillano Hernández,Épila  ,-
3876,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Unai Medina,Unai Medina Pérez,17,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,600 miles € ,147.0,"1,77m",derecho,26,16/02/1990,30.06.2019,Defensa - Lateral derecho,01/07/2015,-,Bilbao  ,-
3877,tmssl.akamaized.net//bilder/spielerfotos/s_71579_621_2012_10_25_1.jpg?lm=0,Iñigo Pérez,Íñigo Pérez Soto,6,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,147.0,"1,78m",izquierdo,29,18/01/1988,30.06.2019,Medio campo - Medio centro,18/07/2014,-,Pamplona  ,-
3878,tmssl.akamaized.net//images/portrait/header/126751-1447152148.jpg?lm=1447152191,Iñigo Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,19,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,700 miles € ,147.0,"1,74m",derecho,23,06/08/1993,30.06.2018,Medio campo - Medio centro,12/07/2016,EGGO 21 Sports,Donostia-San Sebastián  ,-
3879,tmssl.akamaized.net//bilder/spielerfotos/s_72319_10773_2009_1.jpg?lm=0,Marc Pedraza,Marc Pedraza Sarto,4,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,"1,83m",-,30,06/02/1987,30.06.2018,Medio campo - Medio centro,05/07/2013,-,Barcelona  ,-
3880,tmssl.akamaized.net//bilder/spielerfotos/s_147232_7971_2010_1.jpg?lm=0,Alberto Escassi,Alberto Escassi Oliva,8,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,"1,86m",derecho,27,28/02/1989,30.06.2018,Medio campo - Medio centro,01/07/2016,YOU FIRST SPORTS,Málaga  ,-
3881,tmssl.akamaized.net//images/portrait/header/289241-1447313457.jpg?lm=1447313503,Eneko Capilla,Eneko Capilla Gonzalez,23,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,-,izquierdo,21,13/06/1995,30.06.2017,Medio campo - Medio centro ofensivo,17/07/2016,IFM,San Sebastián  ,-
3882,tmssl.akamaized.net//bilder/spielerfotos/s_7991_2296_2012_2.jpg?lm=0,Julio Álvarez,Julio Álvarez Mosquera,10,Venezuela,//tmssl.akamaized.net//images/flagge/verysmall/182.png?lm=1396275478,200 miles € ,147.0,"1,80m",derecho,35,01/05/1981,30.06.2017,Medio campo - Medio centro ofensivo,01/08/2011,IFM,Caracas  ,-
3883,tmssl.akamaized.net//images/portrait/header/67544-1484903811.jpg?lm=1484903825,Dani Nieto,Daniel Nieto Vela,24,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,750 miles € ,147.0,"1,73m",izquierdo,25,04/05/1991,30.06.2019,Delantero - Extremo izquierdo,24/01/2017,Sin agente,Palmanova  ,-
