,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
39249,5766.0,14/15,23/07/2014,Parma,Latina Calcio,500 miles €,?
39250,5766.0,14/15,15/07/2014,Siena,Parma,500 miles €,gratuito
39251,5766.0,12/13,30/06/2013,Padova,AC Siena,500 miles €,Fin de préstamo
39252,5766.0,12/13,25/01/2013,AC Siena,Padova,500 miles €,Préstamo
39253,5766.0,12/13,06/07/2012,Parma,AC Siena,600 miles €,?
39254,5766.0,12/13,01/07/2012,Novara,Parma,600 miles €,500 miles €
39255,5766.0,11/12,01/08/2011,Parma,Novara,"1,00 mill. €",400 miles €
39256,5766.0,10/11,30/06/2011,AC Cesena,Parma,"1,00 mill. €",Fin de préstamo
39257,5766.0,10/11,01/01/2011,Parma,AC Cesena,"2,00 mill. €",Tarifa de préstamo:200 miles €
39258,5766.0,09/10,01/07/2009,US Palermo,Parma,"3,20 mill. €",?
39259,5766.0,08/09,30/06/2009,Torino,US Palermo,"3,20 mill. €",Fin de préstamo
39260,5766.0,08/09,01/01/2009,US Palermo,Torino,"3,20 mill. €",Tarifa de préstamo:800 miles €
39261,5766.0,07/08,30/06/2008,Torino,US Palermo,"3,20 mill. €",Fin de préstamo
39262,5766.0,07/08,01/08/2007,US Palermo,Torino,"1,95 mill. €",Tarifa de préstamo:750 miles €
39263,5766.0,06/07,01/08/2006,Inter,US Palermo,"1,50 mill. €",?
39264,5766.0,05/06,30/06/2006,Treviso,Inter,"1,50 mill. €",Fin de préstamo
39265,5766.0,05/06,01/08/2005,Inter,Treviso,50 miles €,Tarifa de préstamo:600 miles €
39266,5766.0,04/05,30/06/2005,Spezia Calcio,Inter,50 miles €,Fin de préstamo
39267,5766.0,04/05,01/01/2005,Inter,Spezia Calcio,-,Tarifa de préstamo:400 miles €
39268,5766.0,04/05,01/12/2004,Inter U19,Inter,-,-
39269,5767.0,16/17,31/08/2016,Udinese Calcio,Latina Calcio,250 miles €,Préstamo
39270,5767.0,14/15,01/08/2014,Reggina U19,Udinese U19,200 miles €,?
39271,5767.0,12/13,05/11/2012,Reggina Youth,Reggina U19,-,-
39272,5768.0,15/16,01/07/2015,Latina U19,Latina Calcio,50 miles €,-
39273,5768.0,14/15,01/07/2014,Latina Jugend,Latina U19,-,-
39274,5768.0,13/14,01/07/2013,Genua Jugend,Latina Jugend,-,?
39275,5769.0,15/16,30/06/2016,Grosseto,Latina Calcio,75 miles €,Fin de préstamo
39276,5769.0,15/16,01/09/2015,Latina U19,Grosseto,75 miles €,Préstamo
39277,5769.0,13/14,01/07/2013,Lazio Jugend,Latina U19,-,-
39278,5770.0,16/17,01/08/2016,Sampdoria U19,Latina Calcio,25 miles €,Préstamo
