,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
2932,tmssl.akamaized.net//bilder/spielerfotos/s_56490_9465_2012_2.jpg?lm=0,Jeremy Bokila,Jeremy Loteteka Bokila,-,República Democrática del Congo,//tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1396275486,400 miles € ,110.0,"1,89m",izquierdo,28,14/11/1988,30.06.2019,Delantero - Delantero centro,31/01/2017,Perfect Element BV,Kinshasa  ,-
2933,tmssl.akamaized.net//images/portrait/header/169927-1473511148.jpg?lm=1473511187,Muammer Yildirim,Muammer Zülfikar Yıldırım,1,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",111.0,"1,89m",izquierdo,26,14/09/1990,30.06.2019,Portero,21/07/2016,Sezer Bravo,Diyarbakir  ,-
2934,tmssl.akamaized.net//images/portrait/header/126767-1473511139.jpg?lm=1473511175,Ali Ahamada,-,16,Comoras,//tmssl.akamaized.net//images/flagge/verysmall/35.png?lm=1396275477,"1,25 mill. € ",111.0,"1,89m",derecho,25,19/08/1991,30.06.2018,Portero,26/01/2016,Frederic Guerra,Martigues  ,-
2935,tmssl.akamaized.net//images/portrait/header/443995-1473511157.jpg?lm=1473511199,Vedat Karakus,Vedat Karakuş,39,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,50 miles € ,111.0,-,-,18,28/02/1998,30.06.2020,Portero,01/07/2016,Sezer Bravo,Sanliurfa  ,-
2936,tmssl.akamaized.net//images/portrait/header/55255-1471430575.JPG?lm=1471430593,Douglão,Douglas Ferreira,2,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"2,00 mill. € ",111.0,"1,93m",derecho,30,18/05/1986,30.06.2019,Defensa - Defensa central,18/01/2017,K.K. Football Consulting,Dois Vizinhos  ,-
2937,tmssl.akamaized.net//images/portrait/header/57404-1473511270.jpg?lm=1473511351,Jean-Armel Kana-Biyik,-,76,Camerún,//tmssl.akamaized.net//images/flagge/verysmall/31.png?lm=1396275478,"2,00 mill. € ",111.0,"1,84m",derecho,27,03/07/1989,30.06.2019,Defensa - Defensa central,04/08/2016,Mondial Promotion,Metz  ,-
2938,tmssl.akamaized.net//images/portrait/header/55366-1473511262.jpg?lm=1473511336,Larrys Mabiala,Larrys Destin Mabiala,6,República Democrática del Congo,//tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1396275486,"1,50 mill. € ",111.0,"1,89m",derecho,29,08/10/1987,30.06.2017,Defensa - Defensa central,11/07/2015,Logan Network Services Limited,Montfermeil  ,-
2939,tmssl.akamaized.net//images/portrait/header/85405-1464462552.jpg?lm=1464462564,Efe Özarslan,Efe Halil Özarslan,38,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,111.0,"1,95m",derecho,26,29/03/1990,30.06.2018,Defensa - Defensa central,19/01/2017,LifeFootball Sportmanagement,Mersin  ,-
2940,tmssl.akamaized.net//images/portrait/header/165711-1444744177.JPG?lm=1444744186,Erkan Kas,Erkan Kaş,23,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,111.0,"1,83m",izquierdo,25,10/09/1991,30.06.2017,Defensa - Lateral izquierdo,19/01/2017,F-F SPORT,Tokat  ,-
2941,tmssl.akamaized.net//images/portrait/header/147045-1473511317.jpg?lm=1473511409,Levent Gülen,-,4,Suiza,//tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1396275450,"1,30 mill. € ",111.0,"1,86m",derecho,22,24/02/1994,30.06.2020,Defensa - Lateral derecho,16/08/2016,Soccer Mondial,Zürich  ,-
