,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
7009,1081.0,13/14,30/06/2014,FC Empoli,Parma,900 miles €,Fin de préstamo
7010,1081.0,13/14,01/07/2013,Parma,FC Empoli,800 miles €,Préstamo
7011,1081.0,12/13,30/06/2013,Spezia Calcio,Parma,800 miles €,Fin de préstamo
7012,1081.0,12/13,01/07/2012,Parma,Spezia Calcio,"1,00 mill. €",Préstamo
7013,1081.0,11/12,30/06/2012,AS Gubbio,Parma,"1,00 mill. €",Fin de préstamo
7014,1081.0,11/12,01/08/2011,Parma,AS Gubbio,250 miles €,Préstamo
7015,1081.0,11/12,01/07/2011,Benfica,Parma,250 miles €,Libre
7016,1081.0,10/11,30/06/2011,Fátima,Benfica,250 miles €,Fin de préstamo
7017,1081.0,10/11,01/07/2010,Benfica U19,Fátima,-,Préstamo
7018,1081.0,08/09,01/01/2009,V. Mestalla,Benfica U19,-,?
