,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
21722,3371.0,11/12,01/08/2011,Remo,Sport Recife,-,?
21723,3371.0,10/11,01/12/2010,Atlético-PR,Remo,50 miles €,Fin de préstamo
21724,3371.0,10/11,01/09/2010,Remo,Atlético-PR,-,Préstamo
21725,3372.0,15/16,01/07/2015,Tondela,Marítimo,400 miles €,Libre
21726,3372.0,13/14,01/07/2013,Kartalspor,Tondela,100 miles €,Libre
21727,3372.0,11/12,01/07/2011,América-MG,Kartalspor,-,Libre
21728,3372.0,10/11,01/05/2011,Boa Esporte,América-MG,-,Fin de préstamo
21729,3372.0,10/11,01/02/2011,América-MG,Boa Esporte,-,Préstamo
21730,3372.0,09/10,01/05/2010,Democrata,América-MG,-,Libre
21731,3373.0,16/17,01/07/2016,Marítimo B,Marítimo,-,-
21732,3373.0,14/15,01/12/2014,Estrela Calheta,Marítimo B,-,Libre
21733,3374.0,16/17,24/01/2017,Granada CF,Marítimo,300 miles €,Préstamo
21734,3374.0,15/16,30/06/2016,CA Osasuna,Granada CF,400 miles €,Fin de préstamo
21735,3374.0,15/16,24/08/2015,Granada CF,CA Osasuna,600 miles €,Préstamo
21736,3374.0,14/15,01/09/2014,Gil Vicente,Granada CF,"1,50 mill. €",?
21737,3374.0,12/13,01/01/2013,Benfica B,Gil Vicente,800 miles €,?
21738,3374.0,12/13,01/07/2012,Benfica,Benfica B,800 miles €,-
21739,3374.0,11/12,01/07/2011,Benfica U19,Benfica,-,-
21740,3375.0,15/16,18/08/2015,América-MG,Marítimo,150 miles €,Libre
21741,3375.0,14/15,31/12/2014,ABC,América-MG,-,Fin de préstamo
21742,3375.0,13/14,01/01/2014,América-MG,ABC,-,Préstamo
21743,3375.0,13/14,01/11/2013,Ipatinga FC,América-MG,-,Fin de préstamo
21744,3375.0,12/13,01/06/2013,América-MG,Betim EC,-,Préstamo
21745,3375.0,11/12,01/01/2012,América-MG U20,América-MG,-,-
21746,3376.0,16/17,01/07/2016,Moreirense,Marítimo,400 miles €,Libre
21747,3376.0,14/15,08/07/2014,Vitória Setúbal,Moreirense,600 miles €,?
21748,3376.0,13/14,01/12/2013,Penafiel,Vitória Setúbal,600 miles €,?
21749,3376.0,09/10,01/07/2009,Penafiel U19,Penafiel,-,-
21750,3377.0,16/17,18/08/2016,Sin equipo,Marítimo,"2,20 mill. €",-
21751,3377.0,15/16,27/04/2016,Gaziantepspor,Sin equipo,"2,20 mill. €",-
21752,3377.0,14/15,01/07/2014,Samsunspor,Gaziantepspor,400 miles €,Libre
21753,3377.0,12/13,01/07/2012,Giresunspor,Samsunspor,75 miles €,Libre
21754,3377.0,11/12,01/01/2012,RCS Verviers,Giresunspor,25 miles €,?
21755,3377.0,11/12,01/11/2011,Ol. Charleroi,RCS Verviers,25 miles €,Libre
21756,3377.0,11/12,01/07/2011,Rizespor,Ol. Charleroi,25 miles €,?
21757,3377.0,10/11,01/01/2011,Ol. Charleroi,Rizespor,-,?
